datetime,deviceId,shortDeviceId,rssi,position,weightKg,heightM,batteryPowerV,humidityRhp,temperatureC,pressureKpa,accelerationXg,accelerationYg,accelerationZg
2018-03-07T12:04:51.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.98,0.39,0.13
2018-03-07T12:04:54.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.18,0.95,0.27,0.26
2018-03-07T12:04:58.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.98,0.30,0.24
2018-03-07T12:05:03.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,1.00,0.29,0.26
2018-03-07T12:05:08.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.99,0.33,0.13
2018-03-07T12:05:10.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.85,0.40,0.15
2018-03-07T12:05:13.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.98,0.42,0.19
2018-03-07T12:05:18.982Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.93,0.40,0.18
2018-03-07T12:05:25.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.35,0.96,0.34,0.23
2018-03-07T12:05:27.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.33,0.99,0.35,0.10
2018-03-07T12:05:30.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.30,0.94,0.35,0.28
2018-03-07T12:05:33.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.34,0.96,0.35,0.23
2018-03-07T12:05:41.972Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,0.95,0.52,0.19
2018-03-07T12:05:45.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,0.87,0.37,0.34
2018-03-07T12:05:47.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.86,0.38,0.20
